,SummonerName,WinLoss,Champion,Q casts,W casts,E casts,R casts,ChampLevel,CS,Kills,Deaths,Assists,Exp,Damage,Shielding,Healing,Total Damage Taken,Wards Placed,Wards Killed,Vision Score,Penta Kills,Game Time seconds,Crowd Control,Time spent dead,Kill participation,Team damage percentage,Skillshots hit,Skillshots dodged,Solo kills,Turret plates taken,BOTTOM,JUNGLE,MIDDLE,TOP,UTILITY
1095,holy mistake,1,Mordekaiser,104,20,42,8,15,113,4,4,6,13737,10358,0,3355,16422,9,1,18,0,1733,28,57,0.5263157894736842,0.13350674763739656,5,41,2,2,0,0,0,1,0
1096,SWEET DANGER,1,MasterYi,71,3,44,9,15,28,10,7,6,14256,15871,0,8183,27264,1,3,13,0,1733,175,182,0.8421052631578947,0.2045730929894053,16,41,2,2,0,1,0,0,0
1097,BennyBoy,1,Ekko,94,26,46,7,16,160,14,1,3,15109,19276,0,5266,19213,13,0,16,0,1733,332,21,0.8947368421052632,0.2484589501719413,33,299,3,0,0,0,1,0,0
1098,Bucukaqi,1,Caitlyn,52,42,22,3,15,206,5,5,13,14658,27235,0,5256,22732,9,0,15,0,1733,119,178,0.9473684210526315,0.3510423244776955,10,110,1,4,1,0,0,0,0
1099,Ausfreak,1,Nami,22,60,83,4,14,6,1,2,17,11996,4842,1841,9492,10002,18,4,39,0,1733,131,46,0.9473684210526315,0.06241888472356135,9,40,0,3,0,0,0,0,1
1100,Bucukaqi,0,Malphite,65,38,49,7,13,108,5,11,3,10525,17841,0,0,21681,7,1,10,0,1476,516,338,0.2222222222222222,0.3038886931423627,52,108,2,1,0,0,0,1,0
1101,Disguise,0,Nunu,54,50,134,9,11,33,3,6,5,7509,6365,0,11827,27953,2,1,7,0,1476,250,165,0.2222222222222222,0.10842987301112185,60,89,1,0,0,1,0,0,0
1102,Ausfreak,0,Ahri,65,52,19,30,13,138,6,6,2,10990,14062,0,2420,15155,7,1,12,0,1476,38,174,0.2222222222222222,0.23953383337895823,32,66,2,1,0,0,1,0,0
1103,koreanimator,0,Ashe,22,53,4,8,11,113,5,10,0,8501,12663,0,900,16328,7,1,14,0,1476,509,215,0.1388888888888889,0.2157013073146487,26,37,0,1,1,0,0,0,0
1104,Just Joking,0,Lulu,46,41,60,5,10,22,1,3,9,7217,7775,2585,592,13134,24,8,44,0,1476,238,96,0.2777777777777778,0.13244629315290848,29,40,1,1,0,0,0,0,1
1105,Psycadelik,1,Graves,70,16,17,7,16,186,4,5,6,14788,14407,0,2709,20631,6,1,12,0,1476,156,106,0.5,0.18813206727809387,64,63,3,4,0,0,0,1,0
1106,Blindest Monk,1,Diana,101,57,69,8,15,29,10,3,5,13787,16801,0,7841,18268,3,2,15,0,1476,186,52,0.75,0.21940281419608904,61,60,2,1,0,1,0,0,0
1107,Øsidius,1,Akshan,95,17,117,9,15,120,15,6,5,13142,25019,0,1787,16810,8,3,17,0,1476,44,154,1.0,0.32671218955928566,65,120,4,1,0,0,1,0,0
