cted,True,MIDDLE,Akshan,135,19,120,11,16,147,11,8,6,14882,23498,0,5752,24852,9,1,15,0,1910,62,287,0,0,0,0,0,0
2 Jay Cee,True,BOTTOM,Ashe,11,68,17,13,14,156,4,7,7,12211,10836,0,2944,19862,6,3,17,0,1910,610,237,0,0,0,0,0,0
Vynlerian,True,UTILITY,Brand,65,73,55,10,14,68,6,12,9,11880,23902,0,1599,22742,34,7,74,0,1910,36,297,0,0,0,0,0,0
Frommoh,True,TOP,Nasus,190,25,61,11,18,195,9,8,9,18399,26228,0,5146,41897,5,5,25,0,1935,876,208,0,0,0,0,0,0
Project B,True,JUNGLE,Nocturne,82,22,46,18,15,36,10,6,8,13940,15828,0,15284,38602,8,4,24,0,1935,541,248,0,0,0,0,0,0
cted,True,MIDDLE,Orianna,167,100,46,11,16,193,3,8,11,15823,19733,723,1691,21358,11,1,20,0,1935,472,278,0,0,0,0,0,0
jinxy mittens,True,BOTTOM,Jhin,70,38,42,24,15,152,6,4,13,14606,12496,0,4765,14322,6,1,10,0,1935,105,157,0,0,0,0,0,0
LuannyUWU,True,UTILITY,Lux,48,31,162,15,15,60,9,5,14,14066,20597,2669,1207,12948,25,9,63,0,1935,201,185,0,0,0,0,0,0
zellon,False,TOP,Riven,276,66,85,25,17,227,8,6,5,16803,23609,0,4005,29358,9,1,15,0,1935,133,201,0,0,0,0,0,0
GymRat,False,JUNGLE,XinZhao,88,107,0,8,16,45,11,9,6,15477,22890,0,15720,36829,8,7,27,0,1935,415,254,0,0,0,0,0,0
zora1,False,MIDDLE,Zoe,261,24,40,35,16,172,5,9,11,16432,29870,0,3431,24118,11,4,30,0,1935,178,345,0,0,0,0,0,0
8Scope,False,BOTTOM,KogMaw,40,28,33,18,16,203,6,7,8,14909,21798,0,4840,20910,8,2,14,0,1935,279,210,0,0,0,0,0,0
DR4C0,False,UTILITY,Lulu,61,59,90,10,14,10,1,7,10,12243,2686,6424,1743,17183,28,2,63,0,1935,286,207,0,0,0,0,0,0
psonchode,True,TOP,Mordekaiser,108,39,50,12,16,136,4,10,10,15499,22475,0,7075,29589,10,2,21,0,2033,46,322,0,0,0,0,0,0
chocopie203,True,JUNGLE,LeeSin,189,135,157,14,16,28,7,4,21,16188,21904,802,15390,38570,15,4,40,0,2033,497,121,0,0,0,0,0,0
Accidentaally,True,MIDDLE,Veigar,118,64,32,13,17,111,16,11,7,17437,30885,0,622,23971,11,2,20,0,2033,83,363,0,0,0,0,0,0
VoidShifter,True,BOTTOM,Akshan,96,13,195,14,17,189,25,7,7,18056,37696,0,3677,22006,10,6,27,0,2033,107,242,0,0,0,0,0,0
Obscure Gayness,True,UTILITY,Blitzcrank,36,41,31,12,16,35,8,5,17,14826,14506,0,2013,23012,24,5,66,0,2033,130,163,0,0,0,0,0,0
Frommoh,False,TOP,TahmKench,104,33,21,17,15,133,7,12,12,13741,24950,0,10047,46951,6,3,25,0,2033,1041,413,0,0,0,0,0,0
Kai is monster,False,JUNGLE,Malphite,107,86,105,12,16,25,12,9,5,15971,24985,0,7253,30779,10,1,20,0,2033,938,244,0,0,0,0,0,0
theshoe1,False,MIDDLE,Syndra,122,76,47,10,13,114,5,14,9,11422,18658,0,974,23604,6,0,7,0,2033,224,451,0,0,0,0,0,0
Vibronic Cougar,False,BOTTOM,MissFortune,65,53,40,4,15,180,4,11,4,13830,13673,0,4704,22705,18,2,36,0,2033,185,264,0,0,0,0,0,0
ÐFMystic,False,UTILITY,Brand,72,63,59,11,15,65,9,14,5,13475,23293,0,0,25884,28,8,63,0,2033,54,433,0,0,0,0,0,0
